Date,Price
12/2/2014,2066.50
12/3/2014,2074.30
12/4/2014,2071.90
12/5/2014,2075.40
12/8/2014,2060.30
12/9/2014,2059.80
12/10/2014,2026.10
12/11/2014,2035.30
12/12/2014,2002.30
12/15/2014,1989.60
12/16/2014,1972.70
12/17/2014,2012.90
12/18/2014,2061.20
12/19/2014,2070.60
12/22/2014,2078.50
12/23/2014,2082.20
12/24/2014,2081.90
12/26/2014,2088.80
12/29/2014,2090.60
12/30/2014,2080.30
12/31/2014,2058.90
1/2/2015,2058.20
1/5/2015,2020.60
1/6/2015,2002.60
1/7/2015,2025.90
1/8/2015,2062.10
1/9/2015,2044.80
1/12/2015,2028.30
1/13/2015,2023.00
1/14/2015,2011.30
1/15/2015,1992.70
1/16/2015,2019.40
1/20/2015,2022.50
1/21/2015,2032.10
1/22/2015,2063.10
1/23/2015,2051.80
1/26/2015,2057.10
1/27/2015,2029.60
1/28/2015,2002.20
1/29/2015,2021.30
1/30/2015,1995.00
2/2/2015,2020.80
2/3/2015,2050.00
2/4/2015,2041.50
2/5/2015,2062.50
2/6/2015,2055.50
2/9/2015,2046.70
2/10/2015,2068.60
2/11/2015,2068.50
2/12/2015,2088.50
2/13/2015,2097.00
2/17/2015,2100.30
2/18/2015,2099.70
2/19/2015,2097.40
2/20/2015,2110.30
2/23/2015,2109.70
2/24/2015,2115.50
2/25/2015,2113.90
2/26/2015,2110.70
2/27/2015,2104.50
3/2/2015,2117.40
3/3/2015,2107.80
3/4/2015,2098.50
3/5/2015,2101.00
3/6/2015,2071.30
3/9/2015,2079.40
3/10/2015,2044.20
3/11/2015,2040.20
3/12/2015,2066.00
3/13/2015,2053.40
3/16/2015,2081.20
3/17/2015,2074.30
3/18/2015,2099.50
3/19/2015,2089.30
3/20/2015,2108.10
3/23/2015,2104.40
3/24/2015,2091.50
3/25/2015,2061.00
3/26/2015,2056.10
3/27/2015,2061.00
3/30/2015,2086.20
3/31/2015,2067.90
4/1/2015,2059.70
4/2/2015,2067.00
4/6/2015,2080.60
4/7/2015,2076.30
4/8/2015,2081.90
4/9/2015,2091.20
4/10/2015,2102.10
4/13/2015,2092.40
4/14/2015,2095.80
4/15/2015,2106.60
4/16/2015,2105.00
4/17/2015,2081.20
4/20/2015,2100.40
4/21/2015,2097.30
4/22/2015,2108.00
4/23/2015,2112.90
4/24/2015,2117.70
4/27/2015,2108.90
4/28/2015,2114.80
4/29/2015,2106.90
4/30/2015,2085.50
5/1/2015,2108.30
5/4/2015,2114.50
5/5/2015,2089.50
5/6/2015,2080.10
5/7/2015,2088.00
5/8/2015,2116.10
5/11/2015,2105.30
5/12/2015,2099.10
5/13/2015,2098.50
5/14/2015,2121.10
5/15/2015,2122.70
5/18/2015,2129.20
5/19/2015,2127.80
5/20/2015,2125.80
5/21/2015,2130.80
5/22/2015,2126.10
5/26/2015,2104.20
5/27/2015,2123.50
5/28/2015,2120.80
5/29/2015,2107.40
6/1/2015,2111.70
6/2/2015,2109.60
6/3/2015,2114.10
6/4/2015,2095.80
6/5/2015,2092.80
6/8/2015,2079.30
6/9/2015,2080.20
6/10/2015,2105.20
6/11/2015,2108.90
6/12/2015,2094.10
6/15/2015,2084.40
6/16/2015,2096.30
6/17/2015,2100.40
6/18/2015,2121.20
6/19/2015,2110.00
6/22/2015,2122.80
6/23/2015,2124.20
6/24/2015,2108.60
6/25/2015,2102.30
6/26/2015,2101.50
6/29/2015,2057.60
6/30/2015,2063.10
7/1/2015,2077.40
7/2/2015,2076.80
7/6/2015,2068.80
7/7/2015,2081.30
7/8/2015,2046.70
7/9/2015,2051.30
7/10/2015,2076.60
7/13/2015,2099.60
7/14/2015,2109.00
7/15/2015,2107.40
7/16/2015,2124.30
7/17/2015,2126.60
7/20/2015,2128.30
7/21/2015,2119.20
7/22/2015,2114.20
7/23/2015,2102.10
7/24/2015,2079.60
7/27/2015,2067.60
7/28/2015,2093.30
7/29/2015,2108.60
7/30/2015,2108.60
7/31/2015,2103.80
8/3/2015,2098.00
8/4/2015,2093.30
8/5/2015,2099.80
8/6/2015,2083.60
8/7/2015,2077.60
8/10/2015,2104.20
8/11/2015,2084.10
8/12/2015,2086.00
8/13/2015,2083.40
8/14/2015,2091.50
8/17/2015,2102.40
8/18/2015,2096.90
8/19/2015,2079.60
8/20/2015,2035.70
8/21/2015,1970.90
8/24/2015,1893.20
8/25/2015,1867.60
8/26/2015,1940.50
8/27/2015,1987.70
8/28/2015,1988.90
8/31/2015,1972.20
9/1/2015,1913.90
9/2/2015,1948.90
9/3/2015,1951.10
9/4/2015,1921.20
9/8/2015,1969.40
9/9/2015,1942.00
9/10/2015,1952.30
9/11/2015,1961.00
9/14/2015,1953.00
9/15/2015,1978.10
9/16/2015,1995.30
9/17/2015,1990.20
9/18/2015,1958.00
9/21/2015,1967.00
9/22/2015,1942.70
9/23/2015,1938.80
9/24/2015,1932.20
9/25/2015,1931.30
9/28/2015,1881.80
9/29/2015,1884.10
9/30/2015,1920.00
10/1/2015,1923.80
10/2/2015,1951.40
10/5/2015,1987.10
10/6/2015,1979.90
10/7/2015,1995.80
10/8/2015,2013.40
10/9/2015,2014.90
10/12/2015,2017.50
10/13/2015,2003.70
10/14/2015,1994.20
10/15/2015,2023.90
10/16/2015,2033.10
10/19/2015,2033.70
10/20/2015,2030.80
10/21/2015,2018.90
10/22/2015,2052.50
10/23/2015,2075.20
10/26/2015,2071.20
10/27/2015,2065.90
10/28/2015,2090.40
10/29/2015,2089.40
10/30/2015,2079.40
11/2/2015,2104.00
11/3/2015,2109.80
11/4/2015,2102.30
11/5/2015,2099.90
11/6/2015,2099.20
11/9/2015,2078.60
11/10/2015,2081.70
11/11/2015,2075.00
11/12/2015,2046.00
11/13/2015,2023.00
11/16/2015,2053.20
11/17/2015,2050.40
11/18/2015,2083.60
11/19/2015,2081.20
11/20/2015,2089.20
11/23/2015,2086.60
11/24/2015,2089.10
11/25/2015,2088.90
11/27/2015,2090.10
11/30/2015,2080.40
12/1/2015,2102.60
12/2/2015,2079.50
12/3/2015,2049.60
12/4/2015,2091.70
12/7/2015,2077.10
12/8/2015,2063.60
12/9/2015,2047.60
12/10/2015,2052.20
12/11/2015,2012.40
12/14/2015,2021.90
12/15/2015,2043.40
12/16/2015,2073.10
12/17/2015,2041.90
12/18/2015,2005.50
12/21/2015,2021.10
12/22/2015,2039.00
12/23/2015,2064.30
12/24/2015,2061.00
12/28/2015,2056.50
12/29/2015,2078.40
12/30/2015,2063.40
12/31/2015,2043.90
1/4/2016,2012.70
1/5/2016,2016.70
1/6/2016,1990.30
1/7/2016,1943.10
1/8/2016,1922.00
1/11/2016,1923.70
1/12/2016,1938.70
1/13/2016,1890.30
