Company,Sector,MktCap2013,Debt,MktCap2018,Changevs2015,Change,Stake,Latitude,Longitude
Microchip Technology Incorporated,Information Technology,8877, ,15789.4,78%,Up,148,33.304951,-111.881356
"Micron Technology, Inc.",Information Technology,22999.5, ,45880.6,99%,Up,111,43.945777,-115.884627
Microsoft Corporation,Information Technology,312297.5, ,834238.4,167%,Up,40,47.68099,-122.120531
"Mid-America Apartment Communities, Inc.",Real Estate,4541.9, ,11313.8,149%,Up,59,35.097522,-89.836002
"Mohawk Industries, Inc.",Consumer Discretionary,10813.9, ,11213.6,4%,Up,341,34.472482,-84.938483
Molson Coors Brewing Company,Consumer Staples,10320.9, ,12937.4,25%,Up,282,39.747508,-104.989585
"Mondelez International, Inc.",Consumer Staples,61908.7, ,61302.2,-1%,No Change,352,42.165446,-87.850427
Monster Beverage Corporation,Consumer Staples,11363.2, ,28792,153%,Up,53,33.861947,-117.572106
Moodys Corporation,Financials,16878.9, ,30659.9,82%,Up,140,40.713374,-74.011804
Morgan Stanley,Financials,61194, ,78914,29%,Up,266,40.760214,-73.985334
"Motorola Solutions, Inc.",Information Technology,17463.1, ,20017.2,15%,Up,308,41.880901,-87.64044
MSCI Inc.,Financials,5176.6, ,13667.8,164%,Up,44,40.713374,-74.011804
Mylan N.V.,Health Care,16616, ,16606.4,0%,No Change,351,40.259671,-80.186766
"Nasdaq, Inc.",Financials,6669.5, ,13279.1,99%,Up,112,40.709617,-74.010783
"National Oilwell Varco, Inc.",Energy,34046.8, ,15457.8,-55%,Down,475,29.6917,-95.554596
Nektar Therapeutics,Health Care,1317.9, ,8311.3,531%,Up,8,37.653515,-122.344612
"NetApp, Inc.",Information Technology,14021.3, ,20111.4,43%,Up,224,37.412414,-122.009731
"Netflix, Inc.",Communication Services,21816.9, ,145072.4,565%,Up,7,37.259597,-121.962689
Newell Brands Inc.,Consumer Discretionary,9308.2, ,8008.9,-14%,Down,397,40.74342,-74.026902
Newfield Exploration Company,Energy,3337.3, ,4669.1,40%,Up,235,30.182129,-95.520448
Newmont Mining Corporation,Materials,11466, ,17170.1,50%,Up,209,39.600661,-104.892232
News Corporation,Communication Services,10397.5, ,7731.2,-26%,Down,430,40.758469,-73.981958
"NextEra Energy, Inc.",Utilities,37260.2, ,81804.5,120%,Up,79,26.859466,-80.059376
Nielsen Holdings plc,Industrials,17331.9, ,9572.8,-45%,Down,464,52.418788,-1.247349
"NIKE, Inc.",Consumer Discretionary,69954.6, ,117853.5,68%,Up,165,45.490959,-122.803586
NiSource Inc.,Utilities,10301.1, ,9221.1,-10%,Down,386,41.461004,-87.325361
"Noble Energy, Inc.",Energy,24139.2, ,14027.6,-42%,Down,455,29.994884,-95.580326
"Nordstrom, Inc.",Consumer Discretionary,11949.5, ,10019.5,-16%,Down,406,47.673455,-122.331537
Norfolk Southern Corporation,Industrials,28676.1, ,45902.5,60%,Up,180,36.918882,-76.256033
Northern Trust Corporation,Financials,14790.7, ,20620.7,39%,Up,237,41.881026,-87.632607
Northrop Grumman Corporation,Industrials,25442.4, ,53572.6,111%,Up,91,38.886493,-77.176065
Norwegian Cruise Line Holdings Ltd.,Consumer Discretionary,7276.6, ,10851.9,49%,Up,210,25.766368,-80.210268
"NRG Energy, Inc.",Utilities,9288.5, ,11140.6,20%,Up,292,40.349768,-74.660964
Nucor Corporation,Materials,16986.1, ,18471.3,9%,Up,323,35.158853,-80.834802
NVIDIA Corporation,Information Technology,9107.9,WINNER,139335.4,1430%,Up,2,37.370642,-121.967029
"OReilly Automotive, Inc.",Consumer Discretionary,13813.7, ,27380.9,98%,Up,116,37.207623,-93.249211
Occidental Petroleum Corporation,Energy,76656.3, ,55197.6,-28%,Down,435,29.784753,-95.361416
Omnicom Group Inc.,Communication Services,19139.9, ,17271.8,-10%,Down,383,40.757387,-73.975355
"ONEOK, Inc.",Energy,12826.9, ,27878.6,117%,Up,82,36.105819,-95.916194
Oracle Corporation,Information Technology,172070.9, ,180301.3,5%,Up,338,37.530666,-122.262434
PACCAR Inc,Industrials,20951.6, ,21113.2,1%,No Change,350,47.616561,-122.199665
Packaging Corporation of America,Materials,6206.1, ,8242.4,33%,Up,255,42.243134,-87.894444
Parker-Hannifin Corporation,Industrials,19197.7, ,20904.5,9%,Up,322,41.496551,-81.65133
"Paychex, Inc.",Information Technology,16582.6, ,24396,47%,Up,213,43.160252,-77.626889
Pentair plc,Industrials,15482.3, ,6737.3,-56%,Down,477,51.517116,-0.088495
"Peoples United Financial, Inc.",Financials,4682.7, ,5941.6,27%,Up,276,41.167759,-73.186011
"PepsiCo, Inc.",Consumer Staples,127196.8, ,155681.8,22%,Up,288,42.189066,-76.287732
"PerkinElmer, Inc.",Health Care,4634, ,9543.1,106%,Up,101,42.404358,-71.276404
Perrigo Company plc,Health Care,20514.4, ,9836.9,-52%,Down,470,53.078731,-7.798618
Pfizer Inc.,Health Care,198515.2, ,260863.9,31%,Up,259,40.75017,-73.972624
PG&E Corporation,Utilities,18097.6, ,25262.8,40%,Up,236,37.791789,-122.395797
Philip Morris International Inc.,Consumer Staples,139596.7, ,138086.8,-1%,Down,353,40.751683,-73.978427
Phillips 66,Energy,46242.2, ,47712.2,3%,Up,344,29.740617,-95.560278
Pinnacle West Capital Corporation,Utilities,5823.6, ,9534.6,64%,Up,173,33.452487,-112.067913
Pioneer Natural Resources Company,Energy,27053, ,28419.5,5%,Up,337,32.870716,-96.940272
"PPG Industries, Inc.",Materials,26936, ,24538.2,-9%,Down,381,40.440068,-80.003816
PPL Corporation,Utilities,18964.2, ,22465,18%,Up,295,40.598583,-75.468316
"Praxair, Inc.",Materials,38276, ,45969,20%,Up,291,41.426277,-73.410128
"Principal Financial Group, Inc.",Financials,14515.4, ,15251.1,5%,Up,336,41.588349,-93.627493
"Prologis, Inc.",Real Estate,18427.8, ,40031.1,117%,Up,83,37.79716,-122.394637
"Prudential Financial, Inc.",Financials,42697.9, ,40768.6,-5%,Down,369,40.736738,-74.171738
Public Service Enterprise Group Incorporated,Utilities,16207.8, ,27732.1,71%,Up,164,40.737465,-74.168625
Public Storage,Real Estate,25899.5, ,34841.1,35%,Up,251,34.166663,-118.295409
"PulteGroup, Inc.",Consumer Discretionary,7802.9, ,6129.1,-21%,Down,420,33.847926,-84.36849
PVH Corp.,Consumer Discretionary,11102.2, ,9298.7,-16%,Down,408,40.748795,-73.982386
QUALCOMM Incorporated,Information Technology,125440.6, ,96022.3,-23%,Down,426,32.895996,-117.195807
"Quanta Services, Inc.",Industrials,6812.6, ,4790.8,-30%,Down,440,29.734273,-95.462372
Quest Diagnostics Incorporated,Health Care,7786.2, ,14008.3,80%,Up,145,40.781276,-74.069276
Ralph Lauren Corporation,Consumer Discretionary,15951.4, ,10017.9,-37%,Down,449,40.76396,-73.971324
"Raymond James Financial, Inc.",Financials,6973.3, ,12189.4,75%,Up,157,27.892554,-82.670388
Raytheon Company,Industrials,28976.1, ,54487.5,88%,Up,128,42.40556,-71.283062
Realty Income Corporation,Real Estate,7329.6, ,16967.5,131%,Up,62,32.937733,-117.237077
"Red Hat, Inc.",Information Technology,10619.5, ,21138,99%,Up,113,35.775448,-78.637999
Regency Centers Corporation,Real Estate,4274.7, ,10750.7,151%,Up,56,30.369914,-81.660992
"Regeneron Pharmaceuticals, Inc.",Health Care,26767.7, ,42080.2,57%,Up,191,41.064051,-73.866641
Regions Financial Corporation,Financials,13624, ,18631.7,37%,Up,242,33.530651,-86.800929
"Republic Services, Inc.",Industrials,11955.1, ,23475.8,96%,Up,119,33.60503,-112.070892
ResMed Inc.,Health Care,6689.2, ,14694.4,120%,Up,78,32.825603,-117.134206
Robert Half International Inc.,Industrials,5781.3, ,7427.6,28%,Up,269,37.421345,-122.214459
Rockwell Automation Inc.,Industrials,16401.2, ,20162.1,23%,Up,286,43.018597,-87.911918
"Rockwell Collins, Inc.",Industrials,9993.1, ,21614.1,116%,Up,84,42.031652,-91.64094
"Rollins, Inc.",Industrials,4418.7, ,12412,181%,Up,37,33.816204,-84.367333
"Roper Technologies, Inc.",Industrials,13772.3, ,28731,109%,Up,99,27.331803,-82.549852
"Ross Stores, Inc.",Consumer Discretionary,16103.6, ,35354,120%,Up,80,37.710271,-121.890004
Royal Caribbean Cruises Ltd.,Consumer Discretionary,10429.5, ,24069.2,131%,Up,63,25.775279,-80.178369
S&P Global Inc.,Financials,21176.6, ,47367.5,124%,Up,69,40.703395,-74.009771
"salesforce.com, inc.",Information Technology,33279.6, ,106308.8,219%,Up,26,37.790184,-122.40578
SBA Communications Corporation,Real Estate,11534.4, ,17729.7,54%,Up,198,26.419714,-80.096325
SCANA Corporation,Utilities,6596, ,5832,-12%,Down,390,33.941144,-81.043763
Schlumberger Limited,Energy,118670.8, ,80981,-32%,Down,445,29.784753,-95.361416
Seagate Technology plc,Information Technology,18316.1, ,12613.4,-31%,Down,444,53.33928,-6.281314
Sealed Air Corporation,Materials,6679.6, ,5097.9,-24%,Down,427,35.197751,-80.917698
Sempra Energy,Utilities,21937.3, ,31888,45%,Up,219,32.721439,-117.157471
"Simon Property Group, Inc.",Real Estate,47220.3, ,54042,14%,Up,309,39.766937,-86.162221
"Skyworks Solutions, Inc.",Information Technology,5381.1, ,15242.1,183%,Up,34,42.499304,-71.164575
SL Green Realty Corp.,Real Estate,8523, ,7946.5,-7%,Down,375,40.688319,-73.944398
Snap-on Incorporated,Industrials,6368.6, ,8455,33%,Up,256,42.558549,-87.842692
Southwest Airlines Co.,Industrials,13126.2, ,33309.6,154%,Up,52,27.778996,-97.428131
"Stanley Black & Decker, Inc.",Industrials,14274.3, ,18070.5,27%,Up,277,41.694221,-72.80557
Starbucks Corporation,Consumer Discretionary,59074.7, ,79138.2,34%,Up,253,47.580901,-122.335918
State Street Corporation,Financials,32218.3, ,27659.4,-14%,Down,399,42.351718,-71.058213
"Stericycle, Inc.",Industrials,9956.9, ,4556.3,-54%,Down,473,42.271727,-87.902355
Stryker Corporation,Health Care,28434.4, ,63182,122%,Up,70,42.241878,-85.557973
"SunTrust Banks, Inc.",Financials,19775.4, ,28929.2,46%,Up,216,33.762735,-84.386496
SVB Financial Group,Financials,4788.5, ,14997.8,213%,Up,29,37.407492,-121.960841
Symantec Corporation,Information Technology,16412.4, ,12225.7,-26%,Down,429,37.397311,-122.054439
"Synopsys, Inc.",Information Technology,6261.7, ,13090.6,109%,Up,97,37.394777,-122.050007
Sysco Corporation,Consumer Staples,21035.8, ,37021,76%,Up,154,29.757888,-95.620741
"T. Rowe Price Group, Inc.",Financials,21853.2, ,24333.7,11%,Up,316,39.287345,-76.612767
"Take-Two Interactive Software, Inc.",Communication Services,1291.7,WINNER,13938.3,979%,Up,3,40.758963,-73.989868
"Tapestry, Inc.",Consumer Discretionary,15742.4, ,12312.2,-22%,Down,423,40.75273,-74.001251
Target Corporation,Consumer Discretionary,39992.2, ,43171.3,8%,Up,327,44.973619,-93.275666
TE Connectivity Ltd.,Information Technology,22615.7, ,27023,19%,Up,294,47.693975,8.633897
Texas Instruments Incorporated,Information Technology,48062.3, ,95527.9,99%,Up,114,32.912361,-96.753629
Textron Inc.,Industrials,10335.1, ,14097.3,36%,Up,245,41.824913,-71.409192
The AES Corporation,Utilities,10482.6, ,9912,-5%,Down,371,38.879862,-77.112615
The Allstate Corporation,Financials,24807.4, ,33695.3,36%,Up,246,42.109384,-87.876579
The Bank of New York Mellon Corporation,Financials,40129.4, ,46868,17%,Up,301,40.726125,-74.009073
The Boeing Company,Industrials,102565.9, ,204674.3,100%,Up,110,41.883838,-87.63878
The Charles Schwab Corporation,Financials,33519.6, ,63270.3,89%,Up,127,37.790594,-122.392699
The Clorox Company,Consumer Staples,11970.2, ,19481.7,63%,Up,174,37.803487,-122.272377
The Coca-Cola Company,Consumer Staples,182421.8, ,197037.9,8%,Up,326,33.770859,-84.396615
"The Cooper Companies, Inc.",Health Care,5944.4, ,12491.8,110%,Up,94,37.697813,-121.923217
The Estée Lauder Companies Inc.,Consumer Staples,29220.6, ,45969.8,57%,Up,189,40.68295,-73.9708
"The Gap, Inc.",Consumer Discretionary,17545.9, ,9725.4,-45%,Down,463,37.790726,-122.391066
"The Goldman Sachs Group, Inc.",Financials,81273.7, ,85690.2,5%,Up,335,40.714248,-74.014236
The Goodyear Tire & Rubber Company,Consumer Discretionary,5888.5, ,4804.3,-18%,Down,414,41.05943,-81.47725
"The Hartford Financial Services Group, Inc.",Financials,16197.8, ,16716.7,3%,Up,343,41.769796,-72.687206
The Hershey Company,Consumer Staples,21740.2, ,22308.5,3%,Up,346,40.301171,-76.648552
"The Home Depot, Inc.",Consumer Discretionary,115953.4, ,205773.3,77%,Up,149,33.769805,-84.414581
"The Interpublic Group of Companies, Inc.",Communication Services,7367.5, ,9460.3,28%,Up,270,40.68295,-73.9708
The J. M. Smucker Company,Consumer Staples,10894.4, ,11940.2,10%,Up,320,40.846588,-81.758998
The Kroger Co.,Consumer Staples,20418.3, ,21976.9,8%,Up,329,39.106732,-84.514225
The Mosaic Company,Materials,20136.1, ,12781.8,-37%,Down,448,45.015261,-93.454703
"The PNC Financial Services Group, Inc.",Financials,41280.9, ,57823.9,40%,Up,233,40.438372,-79.980857
The Procter & Gamble Company,Consumer Staples,221291.2, ,217499.9,-2%,Down,357,39.103004,-84.507676
The Progressive Corporation,Financials,16353.8, ,41137.7,152%,Up,55,41.550282,-81.43504
The Sherwin-Williams Company,Materials,18505.6, ,37470.3,102%,Up,105,41.497517,-81.692534
The Southern Company,Utilities,36248.4, ,45707.1,26%,Up,279,33.764444,-84.388408
"The TJX Companies, Inc.",Consumer Discretionary,45324.7, ,66368.7,46%,Up,215,42.310304,-71.382153
"The Travelers Companies, Inc.",Financials,32962.7, ,33393.8,1%,Up,348,40.688802,-73.942675
The Walt Disney Company,Communication Services,134256.2, ,176833.1,32%,Up,257,34.156874,-118.325027
The Western Union Company,Information Technology,9526.3, ,8131,-15%,Down,400,39.640813,-104.991667
"The Williams Companies, Inc.",Energy,26359.8, ,32338.6,23%,Up,287,30.318749,-89.233082
Thermo Fisher Scientific Inc.,Health Care,40238.2, ,91495.2,127%,Up,66,42.392448,-71.26144
Tiffany & Co.,Consumer Discretionary,11880.3, ,13099.2,10%,Up,318,40.68295,-73.9708
Torchmark Corporation,Financials,7066.3, ,9660.9,37%,Up,243,33.170914,-96.729166
"Total System Services, Inc.",Information Technology,6315.9, ,16948.5,168%,Up,39,32.497799,-84.87392
Tractor Supply Company,Consumer Discretionary,10829.2, ,10580,-2%,Down,360,36.032521,-86.81318
TransDigm Group Incorporated,Industrials,8480.8, ,17745.9,109%,Up,96,41.504814,-81.689719
"TripAdvisor, Inc.",Communication Services,11767, ,6409.7,-46%,Down,465,42.287008,-71.235456
"Twenty-First Century Fox, Inc.",Communication Services,79433.5, ,84674.5,7%,Up,330,40.758469,-73.981958
"Twitter, Inc.",Communication Services,34670, ,21765.2,-37%,Down,450,37.776751,-122.41625
"Tyson Foods, Inc.",Consumer Staples,11496.3, ,22845,99%,Up,115,36.153828,-94.186482
U.S. Bancorp,Financials,73782.7, ,85207.5,15%,Up,307,44.975607,-93.273875
"UDR, Inc.",Real Estate,5854.8, ,10543.9,80%,Up,143,39.554816,-105.009292
"Ulta Beauty, Inc.",Consumer Discretionary,6199.7, ,16184.6,161%,Up,46,41.680674,-88.10711
"Under Armour, Inc.",Consumer Discretionary,9221.8, ,7783.7,-16%,Down,404,39.271344,-76.592399
Union Pacific Corporation,Industrials,77375.6, ,109962.8,42%,Up,230,41.259148,-95.935246
"United Continental Holdings, Inc.",Industrials,13689.6, ,23821.6,74%,Up,159,41.878658,-87.635868
"United Parcel Service, Inc.",Industrials,97304.8, ,100221.6,3%,Up,345,33.769805,-84.414581
"United Rentals, Inc.",Industrials,7267.6, ,9498.7,31%,Up,262,41.043518,-73.549691
United Technologies Corporation,Industrials,104420.8, ,102956,-1%,Down,355,41.712671,-72.804293
UnitedHealth Group Incorporated,Health Care,75808.9, ,255344.2,237%,Up,23,44.896846,-93.402431
"Universal Health Services, Inc.",Health Care,7985.3, ,11741.8,47%,Up,214,40.075664,-75.352452
Unum Group,Financials,9161.6, ,8234.3,-10%,Down,384,35.091981,-85.234979
V.F. Corporation,Consumer Discretionary,27448.6, ,30828.8,12%,Up,313,36.121713,-79.799073
Valero Energy Corporation,Energy,27193.9, ,39645.4,46%,Up,217,29.452511,-98.700619
"Varian Medical Systems, Inc.",Health Care,8230.4, ,9538.3,16%,Up,304,37.417209,-122.143565
"Ventas, Inc.",Real Estate,16845, ,19939.2,18%,Up,296,41.888858,-87.630268
"VeriSign, Inc.",Information Technology,8193, ,17238.1,110%,Up,92,38.956772,-77.362274
"Verisk Analytics, Inc.",Industrials,11056.2, ,19129.2,73%,Up,160,40.727377,-74.034791
Verizon Communications Inc.,Communication Services,140540.4, ,226843.3,61%,Up,175,40.754628,-73.984529
Vertex Pharmaceuticals Incorporated,Health Care,17368.1, ,44899.3,159%,Up,50,42.353539,-71.04613
"Viacom, Inc.",Communication Services,38974,LOSER,13568.1,-65%,Down,482,40.757554,-73.986089
Visa Inc.,Information Technology,140862.9, ,311694.1,121%,Up,73,32.837348,-116.808327
Vornado Realty Trust,Real Estate,16608, ,12997.1,-22%,Down,422,40.765368,-73.98079
Vulcan Materials Company,Materials,7723.9, ,12279.8,59%,Up,181,33.530651,-86.800929
"W.W. Grainger, Inc.",Industrials,17729.2, ,15560.2,-12%,Down,392,42.236844,-87.912558
"Walgreens Boots Alliance, Inc.",Consumer Staples,54577.8, ,73417.9,35%,Up,252,42.155501,-87.868854
Walmart Inc.,Consumer Staples,254622.9, ,284526.6,12%,Up,314,36.364782,-94.21764
"Waste Management, Inc.",Industrials,21052.4, ,38773.2,84%,Up,134,29.755806,-95.363895
Waters Corporation,Health Care,8513, ,14289.8,68%,Up,168,42.136775,-71.481141
"WEC Energy Group, Inc.",Utilities,9364.3, ,22267.2,138%,Up,60,43.037137,-87.913848
"WellCare Health Plans, Inc.",Health Care,3077.6, ,15429.3,401%,Up,10,27.935231,-82.495716
Wells Fargo & Company,Financials,239149, ,249194.5,4%,Up,339,37.793359,-122.402686
Welltower Inc.,Real Estate,15464.1, ,23984.6,55%,Up,196,41.656208,-83.645945
Western Digital Corporation,Information Technology,19844.7, ,16408.2,-17%,Down,411,37.247373,-121.794652
WestRock Company,Materials,7471.1, ,10711.5,43%,Up,226,33.769805,-84.414581
Weyerhaeuser Company,Real Estate,18397.6, ,21624.2,18%,Up,299,47.600351,-122.332551
Whirlpool Corporation,Consumer Discretionary,12312.7, ,6901.2,-44%,Down,459,42.111172,-86.451285
Willis Towers Watson Public Limited Company,Financials,7944.8, ,18305.1,130%,Up,64,51.512782,-0.081556
"Wynn Resorts, Limited",Consumer Discretionary,19598.1, ,11972.1,-39%,Down,452,36.190364,-115.279104
Xcel Energy Inc.,Utilities,13904, ,25011.4,80%,Up,146,44.979478,-93.270592
Xerox Corporation,Information Technology,14895, ,6854.6,-54%,Down,472,41.150216,-73.426155
"Xilinx, Inc.",Information Technology,12321, ,18740.9,52%,Up,201,37.252648,-121.933984
Xylem Inc.,Industrials,6383.3, ,12442.1,95%,Up,122,41.050163,-73.68785
"YUM! Brands, Inc.",Consumer Discretionary,33671.5, ,28371.6,-16%,Down,405,38.19997,-85.695065
"Zimmer Biomet Holdings, Inc.",Health Care,15933.7, ,25313.6,59%,Up,182,41.239498,-85.854669
"Zions Bancorporation, National Association",Financials,5531.1, ,9131.1,65%,Up,171,40.724923,-111.829936
Zoetis Inc.,Health Care,16345.2, ,44072.4,170%,Up,38,40.801661,-74.445014
