Company,Sector,MktCap2013,Debt,MktCap2018,Changevs2015,Change,Stake,Latitude,Longitude
"AutoZone, Inc.",Consumer Discretionary,16110.9, ,18683.5,16%,Up,303,35.142049,-90.056056
"AvalonBay Communities, Inc.",Real Estate,15300.5, ,24598.8,61%,Up,179,38.878678,-77.111304
Avery Dennison Corporation,Materials,4849.1, ,8530.3,76%,Up,155,34.156763,-118.257858
"Baker Hughes, a GE company",Energy,24492.7, ,12324.8,-50%,Down,468,29.961185,-95.361015
Ball Corporation,Materials,7471.7, ,15795.9,111%,Up,89,39.911656,-105.099983
Bank of America Corporation,Financials,166071.7, ,279185.6,68%,Up,166,35.227403,-80.842261
Baxter International Inc.,Health Care,37744.6, ,37110.1,-2%,Down,356,42.165446,-87.850427
BB&T Corporation,Financials,26307.8, ,37698.7,43%,Up,227,36.095947,-80.245062
"Becton, Dickinson and Company",Health Care,21432.5, ,63704.2,197%,Up,30,41.008467,-74.208791
Berkshire Hathaway Inc.,Financials,292396.3, ,521060.4,78%,Up,147,41.25743,-95.965771
"Best Buy Co., Inc.",Consumer Discretionary,13798.8, ,19435.9,41%,Up,232,44.863927,-93.305441
Biogen Inc.,Health Care,66038.5, ,64544.3,-2%,Down,359,42.366422,-71.085538
"BlackRock, Inc.",Financials,53554.7, ,64185.4,20%,Up,293,40.659844,-73.928997
Booking Holdings Inc.,Consumer Discretionary,59779.9, ,85722.1,43%,Up,225,41.092678,-73.454276
BorgWarner Inc.,Consumer Discretionary,12747.5, ,7661.3,-40%,Down,453,42.670203,-83.230605
"Boston Properties, Inc.",Real Estate,15344.5, ,18059.4,18%,Up,298,42.347177,-71.082511
Boston Scientific Corporation,Health Care,16049.4, ,50532.1,215%,Up,28,42.361045,-71.560033
Bristol-Myers Squibb Company,Health Care,87513.8, ,88610.9,1%,Up,349,40.757878,-73.972813
Broadcom Inc.,Information Technology,13162.1, ,94381.6,617%,Up,6,37.377655,-121.902912
"Broadridge Financial Solutions, Inc.",Information Technology,4710.1, ,13605.4,189%,Up,32,40.761959,-73.690698
Brown-Forman Corporation,Consumer Staples,15959.3, ,23218.4,45%,Up,218,38.244777,-85.784061
"C.H. Robinson Worldwide, Inc.",Industrials,8846.6, ,12588.2,42%,Up,229,44.821193,-93.46088
"CA, Inc.",Information Technology,15185.4, ,18382.6,21%,Up,289,40.760106,-73.974767
Cabot Oil & Gas Corporation,Energy,16323.8, ,10575,-35%,Down,447,29.777333,-95.542608
"Cadence Design Systems, Inc.",Information Technology,4034.2, ,11343.4,181%,Up,35,37.396077,-121.919819
Campbell Soup Company,Consumer Staples,13633.8, ,11403.9,-16%,Down,409,39.937042,-75.112569
Capital One Financial Corporation,Financials,44325.4, ,43838.5,-1%,Down,354,38.924112,-77.213123
"Cardinal Health, Inc.",Health Care,22814.1, ,15949.8,-30%,Down,441,40.108988,-83.120765
"CarMax, Inc.",Consumer Discretionary,10496.2, ,11987.7,14%,Up,310,37.519231,-77.473927
Carnival Corporation,Consumer Discretionary,31161.1, ,39958.8,28%,Up,271,25.766368,-80.210268
Caterpillar Inc.,Industrials,57787.5, ,78046.8,35%,Up,247,42.155752,-87.840808
"Cboe Global Markets, Inc.",Financials,4530.8, ,11730.9,159%,Up,49,41.87897,-87.66063
"CBRE Group, Inc.",Real Estate,8465.2, ,13133,55%,Up,195,34.05513,-118.25703
CBS Corporation,Communication Services,38245.4, ,21518.8,-44%,Down,458,40.761251,-73.978783
Celgene Corporation,Health Care,69626.6, ,57964.1,-17%,Down,410,40.709146,-74.344322
Centene Corporation,Health Care,3228.6,WINNER,29306.5,808%,Up,4,38.635957,-90.239861
"CenterPoint Energy, Inc.",Utilities,9935.9, ,14093.4,42%,Up,231,29.757133,-95.367961
"CenturyLink, Inc.",Communication Services,18825.6, ,23751.9,26%,Up,278,32.5277,-92.088843
Cerner Corporation,Health Care,19133.5, ,20720.7,8%,Up,325,39.137778,-94.56708
"CF Industries Holdings, Inc.",Materials,13356.2, ,11822.9,-11%,Down,389,42.162456,-87.880937
Chevron Corporation,Energy,240223.5, ,226373.6,-6%,Down,373,37.758668,-121.959441
"Chipotle Mexican Grill, Inc.",Consumer Discretionary,16486.6, ,11915.2,-28%,Down,432,39.750433,-105.00348
Chubb Limited,Financials,35224.3, ,59146.8,68%,Up,167,47.385345,8.548751
"Church & Dwight Co., Inc.",Consumer Staples,9202.8, ,14805.5,61%,Up,178,40.287294,-74.789274
Cigna Corporation,Health Care,24180.5, ,51106.6,111%,Up,90,41.816904,-72.690981
Cimarex Energy Co.,Energy,9111.1, ,8739.4,-4%,Down,368,39.743604,-104.985498
Cincinnati Financial Corporation,Financials,8579.8, ,12412,45%,Up,221,39.307766,-84.521758
Cintas Corporation,Industrials,7286.8, ,19420.1,167%,Up,41,39.14767,-84.543959
"Cisco Systems, Inc.",Information Technology,119924.6, ,207264.3,73%,Up,161,37.408358,-121.954074
Citigroup Inc.,Financials,158049.7, ,168163,6%,Up,332,40.7206,-74.010718
"Citrix Systems, Inc.",Information Technology,11789.6, ,13660.8,16%,Up,305,26.203812,-80.155311
CME Group Inc.,Financials,26312, ,62212.4,136%,Up,61,41.875127,-87.63558
CMS Energy Corporation,Utilities,7112.9, ,14354.9,102%,Up,107,42.246684,-84.402188
Cognizant Technology Solutions Corporation,Information Technology,30546.2, ,42757.4,40%,Up,234,40.872068,-74.006775
Colgate-Palmolive Company,Consumer Staples,60332.9, ,55986.5,-7%,Down,376,40.756948,-73.974462
Comcast Corporation,Communication Services,158367.6, ,164858,4%,Up,340,39.954743,-75.168659
Comerica Incorporated,Financials,8695.6, ,14007,61%,Up,177,32.787758,-96.799425
"Conagra Brands, Inc.",Consumer Staples,14167.7, ,14628.5,3%,Up,342,41.888412,-87.634403
Concho Resources Inc.,Energy,11347.4, ,29385.2,159%,Up,48,31.999639,-102.080873
ConocoPhillips,Energy,86553.2, ,84240.3,-3%,Down,362,29.784753,-95.361416
"Consolidated Edison, Inc.",Utilities,16190.8, ,24073.1,49%,Up,212,40.733879,-73.987687
"Constellation Brands, Inc.",Consumer Staples,13316.1, ,42339.4,218%,Up,27,43.028203,-77.434512
"Copart, Inc.",Industrials,4601.6, ,11527.4,151%,Up,58,32.991075,-96.828993
Corning Incorporated,Information Technology,25789.1, ,24932.3,-3%,Down,364,38.257286,-85.756957
Costco Wholesale Corporation,Consumer Staples,52335.7, ,100638.9,92%,Up,126,47.548599,-122.050745
Coty Inc.,Consumer Staples,5859.9, ,7906,35%,Up,248,40.68295,-73.9708
Crown Castle International Corp. (REIT),Real Estate,24134.4, ,44358.8,84%,Up,135,29.754717,-95.483493
CSX Corporation,Industrials,29163.4, ,57369.9,97%,Up,118,30.324743,-81.664114
